DATE,CASH,NB,EILB,DMEQ,EMEQ,PE,RE
01/01/1985,0.004117381996511134,0.008834565729641468,0.029157942327778883,0.0597868956866585,-0.01408490235132915,0.06983854770273153,-0.0009483670274596286
01/02/1985,0.0243436759192037,-0.00214198004427359,-0.05123293457027497,0.00829160106796735,-0.04037837679258855,0.007634628111828655,-0.01871775936904727
01/03/1985,-0.0297907892738644,0.0064542370569277314,-4.284427468986829e-05,-0.013697161176067304,0.017421277118392,0.029158882363359916,-0.014128819869032581
01/04/1985,0.0026336290818905067,0.005494327938969583,0.020495172603687658,-0.08016482393849961,-0.005816418069098495,-0.0165460189270376,-0.021765479379783317
01/05/1985,0.007582181833674716,0.04328201328423866,0.04811065486209036,0.05439651341516291,-0.00889729767850686,0.0744444432796085,0.03573773649687527
01/06/1985,-0.0006940716616941189,0.005701848559910657,0.022029162161657085,-0.0054535227725185376,-0.009761413273752136,-0.009726833757242908,-0.02398319133504096
01/07/1985,-0.032196117349256106,-0.009574981776127645,0.08227798440795947,-0.04335110880888943,-0.012086923421663908,-0.0010755451156141162,-0.03441688051136926
01/08/1985,0.0011521196873839753,0.007382761970672048,0.0070945243405759065,0.03752085229557665,-0.05097238332325681,-0.015246074690056339,-0.0004794350684362786
01/09/1985,-0.03579122302147688,0.0008050322386651222,0.04968817423395423,-0.014151004878729723,0.02433725527218716,-0.057032175593511064,-0.02601061398469215
01/10/1985,-0.013399004499262956,-0.008763156524911577,0.0032990117653060097,0.06330011943936482,0.08367412982335334,0.004920251120951628,-0.010265108452486186
01/11/1985,-0.016606439098388708,-0.001432053873966806,0.03703234457460462,0.00329318818535327,0.021468775818372657,0.03568795714260943,-0.006872985215160498
01/12/1985,-0.007076993118689794,0.02288000113916979,0.021426636714515026,0.05203960344993608,-0.06661196046596202,0.032901801752580166,-0.0044898822792494505
01/01/1986,-0.009876242132189074,-0.016822764769211695,0.016163524652429647,-0.018694425263640686,0.012937529915974594,0.006319436510976663,-0.03806930148094555
01/02/1986,-0.03263589108392009,0.02269039690060276,0.03204026583004047,0.08468902912240342,0.0476446237295564,0.052003608939866386,-0.003793367692921761
01/03/1986,0.012243455214514047,0.0585011334905199,0.03332720374272747,0.09929047624928951,0.014948272333515663,0.09265078811476521,0.013418547719539294
01/04/1986,-0.034165682539436325,0.007792349949872025,0.0668710006448059,0.0032064756036053535,0.03513198896543614,-0.038015327443986155,-0.04937263950875562
01/05/1986,0.030285723940338308,-0.016469248748395966,-0.0769979468007754,-0.0024638201130492664,0.035264949002340645,-0.03027696654738135,-0.011322853255416173
01/06/1986,-0.01924401663040714,0.020020173032892524,0.049836680806837605,-0.0071399736322186776,0.04276946747728226,0.01293351767244571,0.032816880210837396
01/07/1986,-0.04175649613937391,-0.01859483804902313,0.04116603148653661,-0.05076690574182162,0.04273011556771303,-0.018800966292375026,-0.03165888104013863
01/08/1986,0.007891696566036003,0.01940302592055245,0.04336552266879886,0.10834456311863638,0.037053553999664694,0.06551335095146228,0.024243349848333887
01/09/1986,-0.004544136983464073,-0.04766489892280558,-0.018094731188368584,-0.07739031844967931,0.06625544220498679,-0.09173460022897584,-0.045836861002975356
01/10/1986,0.031160957623257587,0.007015917626680136,-0.03129249953292549,0.015493439125897953,0.09053080281802539,0.012147649944176171,0.03458834068681822
01/11/1986,-0.018042584061673056,0.011222083256673959,-0.01190006937996776,0.03808938326225195,0.05487409893810819,-0.007795887940708859,-0.002144389462701502
01/12/1986,-0.005532860352891206,-0.0038461793084820384,0.011484152324331025,-0.026050032548682104,0.09112114468773937,0.032666491173025974,-0.012537998221070436
01/01/1987,-0.030733618055973896,-0.005944779646533755,0.028463268090911462,0.06407357924397698,0.026207805336679567,0.03535692176606187,-0.022677035173518205
01/02/1987,0.003234627453889587,0.015496625978278238,-0.007138621752310812,0.024259476676318663,0.11682701804315437,0.04948976698745667,-0.010489365070555803
01/03/1987,-0.014501726062463301,-0.0005826426983695618,0.0607243029544449,0.03257021980617361,0.011311757798462357,0.03699156269946762,0.0031110010184686766
01/04/1987,-0.014828698583159699,-0.008132861679991957,0.0038869341231569125,0.020886233685466042,0.023395923986719656,0.04069161064716448,-0.026831512603581863
01/05/1987,0.004817468356825779,-0.0031513271483348923,0.0036497404969811423,0.013291354235888888,0.11611652120098995,0.024179871187127194,-0.0035082402953233085
01/06/1987,0.010637234713269437,-0.008855229999246544,-0.0016618325895663456,0.03862271667835901,0.04106671790029074,0.06443184397572663,-0.004605852032736765
01/07/1987,0.013539427210009189,-0.02461492502416853,-0.04095626766401975,0.020166514484229375,0.19081649586588684,0.007971773388002548,0.016361788210687445
01/08/1987,-0.02763744673498785,-0.014573422070287268,0.0776664053321947,0.010053290381983805,0.011223967923567113,0.07014881656599913,0.01326598413043509
01/09/1987,0.015829631000738437,-0.01250013854337524,-0.0749649699811359,-0.01837973015515089,0.021025794655763874,0.00802175776090927,-0.018332661268390775
01/10/1987,-0.03676283622504383,0.03818519890429847,0.08151862849908031,-0.2288276616335638,-0.3279434871574367,-0.21822056947455204,-0.04787984261233378
01/11/1987,-0.02863454109911906,0.008928471212536,0.0713596531311456,-0.07301512394786648,-0.058062861940027403,-0.06917397753779372,-0.01921537823812948
01/12/1987,-0.03255340492605229,-0.004391920558435083,0.035757766887106926,0.015366450298063484,0.062262115131381676,-0.022082079612307716,-0.010664966140375926
01/01/1988,0.03202644933140292,0.02188423050803341,-0.009938025606471966,0.04732289222795534,0.07207945734434053,0.10064263295695985,0.00813831859187866
